record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
67,CelcomDigi,Gibraltar,Other,roaming,,,,350,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
68,CelcomDigi,Greece,Europe,roaming,6.0,11.0,1.0,30,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
69,CelcomDigi,Grenada,Other,roaming,6.0,11.0,1.0,1473,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
70,CelcomDigi,Guam,Other,roaming,,,,1671,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
71,CelcomDigi,Guatemala,Other,roaming,6.0,11.0,1.0,502,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
72,CelcomDigi,Guernsey,Other,roaming,,,,44,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
73,CelcomDigi,Guinea,Other,roaming,,,,224,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
74,CelcomDigi,Guyana,Other,roaming,6.0,11.0,1.0,592,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
75,CelcomDigi,Haiti,Other,roaming,6.0,11.0,1.0,509,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
76,CelcomDigi,Honduras,Other,roaming,6.0,11.0,1.0,504,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
77,CelcomDigi,Hong Kong,East Asia,roaming,6.0,7.0,1.0,852,,False,to_other=8.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
78,CelcomDigi,Hungary,Other,roaming,6.0,11.0,1.0,36,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
79,CelcomDigi,Iceland,Europe,roaming,6.0,11.0,1.0,354,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
80,CelcomDigi,India,South Asia,roaming,6.0,7.0,1.0,91,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
81,CelcomDigi,Indonesia,Southeast Asia,roaming,6.0,7.0,1.0,62,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
82,CelcomDigi,Iran,Middle East,roaming,6.0,11.0,1.0,98,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
83,CelcomDigi,Iraq,Middle East,roaming,6.0,11.0,1.0,964,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
84,CelcomDigi,Ireland,Europe,roaming,6.0,11.0,1.0,353,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
85,CelcomDigi,Isle Of Man,Other,roaming,6.0,11.0,1.0,44,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
86,CelcomDigi,Italy,Europe,roaming,6.0,11.0,1.0,39,,False,to_other=16.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
87,CelcomDigi,Ivory Coast,Other,roaming,,,,225,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
88,CelcomDigi,Jamaica,Other,roaming,6.0,11.0,1.0,1876,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
89,CelcomDigi,Japan,East Asia,roaming,6.0,7.0,1.0,81,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
90,CelcomDigi,Jersey,Other,roaming,6.0,11.0,1.0,44,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
91,CelcomDigi,Jordan,Middle East,roaming,6.0,11.0,1.0,962,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
92,CelcomDigi,Kazakhstan,Other,roaming,6.0,7.0,1.0,7,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
93,CelcomDigi,Kenya,Other,roaming,6.0,11.0,1.0,254,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
94,CelcomDigi,Kuwait,Middle East,roaming,6.0,11.0,1.0,965,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
95,CelcomDigi,Kyrgyzstan,Other,roaming,6.0,7.0,1.0,996,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
96,CelcomDigi,Laos,Southeast Asia,roaming,6.0,7.0,1.0,856,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
97,CelcomDigi,Latvia,Other,roaming,6.0,11.0,1.0,371,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
98,CelcomDigi,Lebanon,Other,roaming,6.0,11.0,1.0,961,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
99,CelcomDigi,Lesotho,Other,roaming,,,,266,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
100,CelcomDigi,Liberia,Other,roaming,,,,231,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
101,CelcomDigi,Libya,Other,roaming,,,,218,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
102,CelcomDigi,Liechtenstein,Other,roaming,6.0,11.0,1.0,423,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
103,CelcomDigi,Lithuania,Other,roaming,6.0,11.0,1.0,370,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
104,CelcomDigi,Luxembourg,Other,roaming,6.0,11.0,1.0,352,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
105,CelcomDigi,Macau,East Asia,roaming,6.0,7.0,1.0,853,,False,to_other=8.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
106,CelcomDigi,Macedonia,Other,roaming,6.0,11.0,1.0,389,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
107,CelcomDigi,Madagascar,Other,roaming,6.0,11.0,1.0,261,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
108,CelcomDigi,Malawi,Other,roaming,,,,265,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
109,CelcomDigi,Maldives,Other,roaming,6.0,7.0,1.0,960,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
110,CelcomDigi,Mali,Other,roaming,,,,223,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
111,CelcomDigi,Malta,Other,roaming,6.0,11.0,1.0,356,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
112,CelcomDigi,Mauritania,Other,roaming,,,,222,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
113,CelcomDigi,Mauritius,Other,roaming,6.0,11.0,1.0,230,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
114,CelcomDigi,Mexico,North America,roaming,6.0,11.0,1.0,52,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
115,CelcomDigi,Moldova,Other,roaming,6.0,11.0,1.0,373,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
116,CelcomDigi,Monaco,Other,roaming,,,,377,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
117,CelcomDigi,Mongolia,Other,roaming,6.0,7.0,1.0,976,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
118,CelcomDigi,Montenegro,Other,roaming,6.0,11.0,1.0,382,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
119,CelcomDigi,Montserrat,Other,roaming,6.0,11.0,1.0,1664,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
120,CelcomDigi,Morocco,Africa,roaming,6.0,11.0,1.0,212,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
121,CelcomDigi,Mozambique,Other,roaming,6.0,11.0,1.0,258,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
122,CelcomDigi,Myanmar,Southeast Asia,roaming,6.0,7.0,1.0,95,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
123,CelcomDigi,Namibia,Other,roaming,,,,264,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
124,CelcomDigi,Nauru,Other,roaming,6.0,7.0,1.0,674,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
125,CelcomDigi,Nepal,South Asia,roaming,6.0,7.0,1.0,977,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
126,CelcomDigi,Netherlands,Europe,roaming,6.0,11.0,1.0,31,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
127,CelcomDigi,New Zealand,Oceania,roaming,6.0,7.0,1.0,64,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
128,CelcomDigi,Nicaragua,Other,roaming,,,,505,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
129,CelcomDigi,Nigeria,Other,roaming,6.0,11.0,1.0,234,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
130,CelcomDigi,Norway,Europe,roaming,6.0,11.0,1.0,47,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
131,CelcomDigi,Oman,Middle East,roaming,6.0,11.0,1.0,968,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
132,CelcomDigi,Pakistan,South Asia,roaming,6.0,7.0,1.0,92,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
133,CelcomDigi,Palestine,Other,roaming,6.0,11.0,1.0,970,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
134,CelcomDigi,Panama,Other,roaming,6.0,11.0,1.0,507,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
135,CelcomDigi,Papua New Guinea,Other,roaming,6.0,7.0,1.0,675,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
136,CelcomDigi,Paraguay,Other,roaming,,,,595,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
137,CelcomDigi,Peru,Other,roaming,6.0,11.0,1.0,51,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
138,CelcomDigi,Philippines,Southeast Asia,roaming,6.0,7.0,1.0,63,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
