record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
78,Maxis,Cuba,Caribbean,postpaid,9.6,9.6,,IDD 132: RM4.085/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
79,Maxis,Cyprus,Middle East,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
80,Maxis,Cyprus,Middle East,postpaid,4.8,4.8,0.5,IDD 132 Fixed: RM0.935/min; Mobile: RM1.3325/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
81,Maxis,Czech Republic,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
82,Maxis,Czech Republic,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
83,Maxis,Denmark,Europe,prepaid,2.39,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
84,Maxis,Denmark,Europe,postpaid,2.88,2.88,0.5,IDD 132 Fixed: RM0.18/min; Mobile: RM0.9175/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
85,Maxis,Djibouti,Africa,prepaid,7.0,7.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
86,Maxis,Djibouti,Africa,postpaid,8.4,8.4,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
87,Maxis,Dominica,Caribbean,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
88,Maxis,Dominica,Caribbean,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
89,Maxis,Dominica Republic,Caribbean,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
90,Maxis,Dominica Republic,Caribbean,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
91,Maxis,Ecuador,South America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
92,Maxis,Ecuador,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
93,Maxis,Egypt,Africa,prepaid,2.4,2.4,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
94,Maxis,Egypt,Africa,postpaid,2.88,2.88,0.5,IDD 132: RM0.865/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
95,Maxis,El Salvador,Central America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
96,Maxis,El Salvador,Central America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
97,Maxis,Ellipso Satellite,Other,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
98,Maxis,Ellipso Satellite,Other,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
99,Maxis,Equatorial Guinea,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
100,Maxis,Equatorial Guinea,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
101,Maxis,Estonia,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
102,Maxis,Estonia,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
103,Maxis,Ethiopia,Africa,prepaid,4.0,4.0,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
104,Maxis,Ethiopia,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
105,Maxis,Falkland Islands,Europe,prepaid,6.28,6.28,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
106,Maxis,Falkland Islands,Europe,postpaid,7.54,7.54,0.5,IDD 132: RM2.79/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
107,Maxis,Faroe islands,Europe,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
108,Maxis,Faroe islands,Europe,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
109,Maxis,Fiji,Oceania,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
110,Maxis,Fiji,Oceania,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
111,Maxis,Finland,Europe,prepaid,3.0,3.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
112,Maxis,Finland,Europe,postpaid,3.6,3.6,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM0.2875/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
113,Maxis,France,Europe,prepaid,0.99,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
114,Maxis,France,Europe,postpaid,1.2,1.2,0.5,IDD 132 Fixed: RM0.145/min; Mobile: RM0.81/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
115,Maxis,French Guiana (NR),South America,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
116,Maxis,French Guiana (NR),South America,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
117,Maxis,French Polynesia,Oceania,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
118,Maxis,French Polynesia,Oceania,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
119,Maxis,Gabon,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
120,Maxis,Gabon,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
121,Maxis,Georgia,Caucasus,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
122,Maxis,Georgia,Caucasus,postpaid,4.8,4.8,0.5,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
123,Maxis,Germany,Europe,prepaid,0.99,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
124,Maxis,Germany,Europe,postpaid,1.2,1.2,0.5,IDD 132 Fixed: RM0.1625/min; Mobile: RM0.865/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
125,Maxis,Ghana,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
126,Maxis,Ghana,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM0.935/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
127,Maxis,Gibraltar,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
128,Maxis,Gibraltar,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
129,Maxis,Greece,Europe,prepaid,2.39,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
130,Maxis,Greece,Europe,postpaid,4.8,4.8,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
131,Maxis,Greenland,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
132,Maxis,Greenland,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
133,Maxis,Grenada,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
134,Maxis,Grenada,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
135,Maxis,Guadeloupe,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
136,Maxis,Guadeloupe,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
137,Maxis,Guam,Oceania,prepaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
138,Maxis,Guam,Oceania,postpaid,,,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
139,Maxis,Guinea Republic,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
140,Maxis,Guinea Republic,Africa,postpaid,4.8,4.8,,IDD 132: RM2.6/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
141,Maxis,Honduras,Central America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
142,Maxis,Honduras,Central America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
143,Maxis,Hong Kong,East Asia,prepaid,0.5,0.2,0.3,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
144,Maxis,Hong Kong,East Asia,postpaid,0.5,0.5,0.5,IDD 132: RM0.145/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
145,Maxis,Hungary,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
146,Maxis,Hungary,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
147,Maxis,Iceland,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
148,Maxis,Iceland,Europe,postpaid,4.8,4.8,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM0.81/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
149,Maxis,India,South Asia,prepaid,0.12,0.12,0.3,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
150,Maxis,India,South Asia,postpaid,2.4,0.5,0.5,IDD 132: RM0.145/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
151,Maxis,Indonesia,Southeast Asia,prepaid,0.18,0.18,0.4,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
152,Maxis,Indonesia,Southeast Asia,postpaid,2.0,2.0,0.2,IDD 132: RM0.2525/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
153,Maxis,Iran,Middle East,prepaid,2.4,2.4,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
154,Maxis,Iran,Middle East,postpaid,2.88,2.88,,IDD 132: RM0.5225/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
155,Maxis,Israel,Middle East,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
156,Maxis,Israel,Middle East,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
157,Maxis,Iraq,Middle East,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
