record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
1,redONE,Afghanistan,South Asia,prepaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
2,redONE,Afghanistan,South Asia,postpaid,,,,,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
74,redONE,Cameroon,Africa,postpaid,2.17,2.17,0.5,video_call=2.34/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
75,redONE,Canada,North America,prepaid,2.17,2.17,0.5,video_call=0.41/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
76,redONE,Canada,North America,postpaid,2.17,2.17,0.5,video_call=0.41/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
77,redONE,Cape Verde Islands,Africa,prepaid,2.17,2.17,0.5,video_call=1.8/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
78,redONE,Cape Verde Islands,Africa,postpaid,2.17,2.17,0.5,video_call=1.8/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
79,redONE,Cayman Islands,Caribbean,prepaid,2.17,2.17,0.5,video_call=2.06/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
80,redONE,Cayman Islands,Caribbean,postpaid,2.17,2.17,0.5,video_call=2.06/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
81,redONE,Central African Republic,Africa,prepaid,3.79,3.79,0.5,video_call=3.99/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
82,redONE,Central African Republic,Africa,postpaid,3.79,3.79,0.5,video_call=3.99/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
83,redONE,Chad,Africa,prepaid,2.17,2.17,0.5,video_call=2.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
84,redONE,Chad,Africa,postpaid,2.17,2.17,0.5,video_call=2.52/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
85,redONE,Chile,South America,prepaid,2.17,2.17,0.5,video_call=0.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
86,redONE,Chile,South America,postpaid,2.17,2.17,0.5,video_call=0.05/min; mms=2.0/mms,https://www.redonemobile.com.my/en/idd/,2026-05-18T00:40:32
