record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
97,Hotlink,Denmark,Europe,prepaid,2.39,0.2,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
98,Hotlink,Denmark,Europe,postpaid,2.88,2.88,0.5,IDD 132: RM0.18/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
99,Hotlink,Djibouti,Africa,prepaid,7.0,7.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
100,Hotlink,Djibouti,Africa,postpaid,8.4,8.4,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
101,Hotlink,Dominica Island,Caribbean,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
102,Hotlink,Dominica Island,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
103,Hotlink,Dominican Republic,Caribbean,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
104,Hotlink,Dominican Republic,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
105,Hotlink,D.R. Congo (Zaire),Africa,prepaid,4.0,4.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
106,Hotlink,D.R. Congo (Zaire),Africa,postpaid,,,,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
107,Hotlink,East Timor,Southeast Asia,prepaid,5.0,5.0,0.5,,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
108,Hotlink,East Timor,Southeast Asia,postpaid,6.0,6.0,,IDD 132: RM3.1/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.hotlink.com.my/idd/,2026-05-18T01:05:41
