record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
137,Tune Talk,Estonia,Europe,prepaid,0.35,2.28,,372,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
138,Tune Talk,Estonia,Europe,postpaid,0.35,2.28,,372,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
139,Tune Talk,Ethiopia,Other,prepaid,0.75,2.28,,251,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
140,Tune Talk,Ethiopia,Other,postpaid,0.75,2.28,,251,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
141,Tune Talk,Faeroe Islands,Other,prepaid,0.48,2.28,,298,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
142,Tune Talk,Faeroe Islands,Other,postpaid,0.48,2.28,,298,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
143,Tune Talk,Falkland Islands,Other,prepaid,0.48,14.88,,500,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
144,Tune Talk,Falkland Islands,Other,postpaid,0.48,14.88,,500,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
145,Tune Talk,Fiji,Oceania,prepaid,1.25,2.28,,679,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
146,Tune Talk,Fiji,Oceania,postpaid,1.25,2.28,,679,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
147,Tune Talk,Finland,Europe,prepaid,2.28,2.28,,358,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
148,Tune Talk,Finland,Europe,postpaid,2.28,2.28,,358,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
149,Tune Talk,France,Europe,prepaid,0.95,0.2,,33,132,False,,https://www.tunetalk.com/prepaid/idd/,2026-05-17T08:03:40
