brand,country,country_slug,plan_type,countryCode,callRateFixed,callRateMobile,smsRate,sms_rate_myr,source_url
Yes,Aruba,aruba,prepaid,297,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Aruba,aruba,postpaid,297,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Ascension Island,ascension-island,prepaid,247,8.50,8.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Ascension Island,ascension-island,postpaid,247,8.50,8.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Australia,australia,prepaid,61,0.75,0.75,0.48,0.48,https://www.yes.my/roaming/
Yes,Australia,australia,postpaid,61,0.75,0.75,0.48,0.48,https://www.yes.my/roaming/
Yes,Austria,austria,prepaid,43,2.38,2.38,0.48,0.48,https://www.yes.my/roaming/
Yes,Austria,austria,postpaid,43,2.38,2.38,0.48,0.48,https://www.yes.my/roaming/
Yes,Azerbaijan,azerbaijan,prepaid,994,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Azerbaijan,azerbaijan,postpaid,994,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bahamas,bahamas,prepaid,1242,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Bahamas,bahamas,postpaid,1242,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Bahrain,bahrain,prepaid,973,1.38,1.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Bahrain,bahrain,postpaid,973,1.38,1.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Bangladesh,bangladesh,prepaid,880,0.09,0.09,0.18,0.18,https://www.yes.my/roaming/
Yes,Bangladesh,bangladesh,postpaid,880,0.09,0.09,0.18,0.18,https://www.yes.my/roaming/
Yes,Barbados,barbados,prepaid,1246,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Barbados,barbados,postpaid,1246,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Belarus,belarus,prepaid,375,3.60,3.60,0.48,0.48,https://www.yes.my/roaming/
Yes,Belarus,belarus,postpaid,375,3.60,3.60,0.48,0.48,https://www.yes.my/roaming/
Yes,Belgium,belgium,prepaid,32,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Belgium,belgium,postpaid,32,2.28,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Belize,belize,prepaid,501,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Belize,belize,postpaid,501,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Benin,benin,prepaid,229,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Benin,benin,postpaid,229,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Bermuda,bermuda,prepaid,1441,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bermuda,bermuda,postpaid,1441,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bhutan,bhutan,prepaid,975,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bhutan,bhutan,postpaid,975,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bolivia,bolivia,prepaid,591,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bolivia,bolivia,postpaid,591,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bosnia Herzegovina,bosnia-herzegovina,prepaid,387,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Bosnia Herzegovina,bosnia-herzegovina,postpaid,387,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Botswana,botswana,prepaid,267,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Botswana,botswana,postpaid,267,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Brazil,brazil,prepaid,55,2.78,2.78,0.28,0.28,https://www.yes.my/roaming/
Yes,Brazil,brazil,postpaid,55,2.78,2.78,0.28,0.28,https://www.yes.my/roaming/
Yes,British Virgin Islands,british-virgin-islands,prepaid,1284,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,British Virgin Islands,british-virgin-islands,postpaid,1284,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Brunei Darussalam,brunei-darussalam,prepaid,673,0.48,0.48,0.18,0.18,https://www.yes.my/roaming/
Yes,Brunei Darussalam,brunei-darussalam,postpaid,673,0.48,0.48,0.18,0.18,https://www.yes.my/roaming/
Yes,Bulgaria,bulgaria,prepaid,359,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Bulgaria,bulgaria,postpaid,359,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Burkina Faso,burkina-faso,prepaid,226,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Burkina Faso,burkina-faso,postpaid,226,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Burundi,burundi,prepaid,257,3.30,3.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Burundi,burundi,postpaid,257,3.30,3.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Cambodia,cambodia,prepaid, 855,0.37,0.37,0.28,0.28,https://www.yes.my/roaming/
Yes,Cambodia,cambodia,postpaid,855,0.37,0.37,0.28,0.28,https://www.yes.my/roaming/
Yes,Cameroon,cameroon,prepaid,237,2.20,3.10,0.38,0.38,https://www.yes.my/roaming/
Yes,Cameroon,cameroon,postpaid,237,2.20,3.10,0.38,0.38,https://www.yes.my/roaming/
Yes,Canada,canada,prepaid,1,0.18,0.18,0.18,0.18,https://www.yes.my/roaming/
Yes,Canada,canada,postpaid,1,0.18,0.18,0.18,0.18,https://www.yes.my/roaming/
Yes,Canada - Northwest,canada-northwest,prepaid,1250 1867,1.20,1.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Canada - Northwest,canada-northwest,postpaid,1250 1867,1.20,1.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Cape Verde Island,cape-verde-island,prepaid,238,5.40,5.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Cape Verde Island,cape-verde-island,postpaid,238,5.40,5.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Caymen Island,caymen-island,prepaid,1345,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Caymen Island,caymen-island,postpaid,1345,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Central African Republic,central-african-republic,prepaid,236,4.38,4.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Central African Republic,central-african-republic,postpaid,236,4.38,4.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Chad,chad,prepaid,235,3.10,3.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Chad,chad,postpaid,235,3.10,3.10,0.48,0.48,https://www.yes.my/roaming/
Yes,Chile,chile,prepaid,56,3.86,3.86,0.48,0.48,https://www.yes.my/roaming/
Yes,Chile,chile,postpaid,56,3.86,3.86,0.48,0.48,https://www.yes.my/roaming/
Yes,Chile Easter Island,chile-easter-island,prepaid,56322,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Chile Easter Island,chile-easter-island,postpaid,56322,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,China,china,prepaid,86,0.16,0.16,0.30,0.3,https://www.yes.my/roaming/
Yes,China,china,postpaid,86,0.16,0.16,0.30,0.3,https://www.yes.my/roaming/
Yes,Colombia,colombia,prepaid,57,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Colombia,colombia,postpaid,57,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Comoros,comoros,prepaid,269,3.80,3.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Comoros,comoros,postpaid,269,3.80,3.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Congo,congo,prepaid,242,3.10,3.10,0.38,0.38,https://www.yes.my/roaming/
Yes,Congo,congo,postpaid,242,3.10,3.10,0.38,0.38,https://www.yes.my/roaming/
Yes,Congo Demoratic Rep. (formerly Zaire),congo-demoratic-rep-formerly-zaire,prepaid,243,2.80,4.00,0.38,0.38,https://www.yes.my/roaming/
Yes,Congo Demoratic Rep. (formerly Zaire),congo-demoratic-rep-formerly-zaire,postpaid,243,2.80,4.00,0.38,0.38,https://www.yes.my/roaming/
Yes,Cook Island,cook-island,prepaid,682,8.80,8.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Cook Island,cook-island,postpaid,682,8.80,8.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Costa Rica,costa-rica,prepaid,506,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Costa Rica,costa-rica,postpaid,506,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Croatia,croatia,prepaid,385,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Croatia,croatia,postpaid,385,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Cuba,cuba,prepaid,53,4.10,4.10,0.48,0.48,https://www.yes.my/roaming/
