record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
2437,U Mobile,Kiribati,Oceania,postpaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2438,U Mobile,Kiribati,Oceania,prepaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2439,U Mobile,Kuwait,Middle East,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2440,U Mobile,Kuwait,Middle East,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2441,U Mobile,Kyrgyzstan,Central Asia,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2442,U Mobile,Kyrgyzstan,Central Asia,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2443,U Mobile,Laos,Southeast Asia,postpaid,1.3,1.3,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2444,U Mobile,Laos,Southeast Asia,prepaid,0.98,0.98,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2445,U Mobile,Latvia,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2446,U Mobile,Latvia,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2447,U Mobile,Lebanon,Middle East,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2448,U Mobile,Lebanon,Middle East,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2449,U Mobile,Lesotho,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2450,U Mobile,Lesotho,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2451,U Mobile,Liberia,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2452,U Mobile,Liberia,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2453,U Mobile,Libya,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2454,U Mobile,Libya,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2455,U Mobile,Liechtenstein,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2456,U Mobile,Liechtenstein,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2457,U Mobile,Lithuania,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2458,U Mobile,Lithuania,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2459,U Mobile,Luxembourg,Europe,postpaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2460,U Mobile,Luxembourg,Europe,prepaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2461,U Mobile,Macau,East Asia,postpaid,0.58,0.58,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2462,U Mobile,Macau,East Asia,prepaid,0.58,0.58,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2463,U Mobile,Macedonia,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2464,U Mobile,Macedonia,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2465,U Mobile,Madagascar,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2466,U Mobile,Madagascar,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2467,U Mobile,Malawi,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2468,U Mobile,Malawi,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2469,U Mobile,Maldives,South Asia,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2470,U Mobile,Maldives,South Asia,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2471,U Mobile,Mali,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2472,U Mobile,Mali,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2473,U Mobile,Malta,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2474,U Mobile,Malta,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2475,U Mobile,Marshall Islands,Oceania,postpaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2476,U Mobile,Marshall Islands,Oceania,prepaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2477,U Mobile,Martinique,Caribbean,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2478,U Mobile,Martinique,Caribbean,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2479,U Mobile,Mauritania,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2480,U Mobile,Mauritania,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2481,U Mobile,Mauritius,Africa,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2482,U Mobile,Mauritius,Africa,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2483,U Mobile,Mayotte,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2484,U Mobile,Mayotte,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2485,U Mobile,Mexico,North America,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2486,U Mobile,Mexico,North America,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2487,U Mobile,Micronesia,Oceania,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2488,U Mobile,Micronesia,Oceania,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2489,U Mobile,Moldova,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2490,U Mobile,Moldova,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2491,U Mobile,Monaco,Europe,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2492,U Mobile,Monaco,Europe,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2493,U Mobile,Mongolia,East Asia,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2494,U Mobile,Mongolia,East Asia,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2495,U Mobile,Montenegro,Europe,postpaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2496,U Mobile,Montenegro,Europe,prepaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2497,U Mobile,Montserrat,Caribbean,postpaid,5.0,5.0,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2498,U Mobile,Montserrat,Caribbean,prepaid,5.0,5.0,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2499,U Mobile,Morocco,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2500,U Mobile,Morocco,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2501,U Mobile,Mozambique,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2502,U Mobile,Mozambique,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2503,U Mobile,Myanmar,Southeast Asia,postpaid,1.7,1.7,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2504,U Mobile,Myanmar,Southeast Asia,prepaid,0.8,0.8,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2505,U Mobile,Namibia,Africa,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2506,U Mobile,Namibia,Africa,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2507,U Mobile,Nauru,Oceania,postpaid,12.0,12.0,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2508,U Mobile,Nauru,Oceania,prepaid,12.0,12.0,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2509,U Mobile,Nepal,South Asia,postpaid,1.4,1.4,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2510,U Mobile,Nepal,South Asia,prepaid,0.65,0.65,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2511,U Mobile,Netherlands,Europe,postpaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2512,U Mobile,Netherlands,Europe,prepaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2513,U Mobile,Netherlands Antilles,Caribbean,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2514,U Mobile,Netherlands Antilles,Caribbean,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2515,U Mobile,New Caledonia,Oceania,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2516,U Mobile,New Caledonia,Oceania,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2517,U Mobile,New Zealand,Oceania,postpaid,0.98,0.28,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2518,U Mobile,New Zealand,Oceania,prepaid,0.98,0.28,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2519,U Mobile,Nicaragua,Central America,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2520,U Mobile,Nicaragua,Central America,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2521,U Mobile,Niger,Africa,postpaid,5.8,5.8,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2522,U Mobile,Niger,Africa,prepaid,5.8,5.8,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2523,U Mobile,Nigeria,Africa,postpaid,2.9,2.9,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2524,U Mobile,Nigeria,Africa,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2525,U Mobile,Niue,Oceania,postpaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2526,U Mobile,Niue,Oceania,prepaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2527,U Mobile,Norfolk Island,Oceania,postpaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2528,U Mobile,Norfolk Island,Oceania,prepaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2529,U Mobile,North Korea,East Asia,postpaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2530,U Mobile,North Korea,East Asia,prepaid,4.38,4.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2531,U Mobile,Northern Mariana Islands,Oceania,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2532,U Mobile,Northern Mariana Islands,Oceania,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
